o,p,s
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg121
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000014,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg116
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000015,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg303
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000016,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg167
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000017,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg190
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000018,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000019,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
