o,p,s
http://www.phenome-fppn.fr/vocabulary/2017#hasPlot,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/vocabulary/2017#hasPlot,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Experiment
http://www.phenome-fppn.fr/vocabulary/2017#hasPlot,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/vocabulary/2017#hasTrait,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasTrait,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Trait
http://www.phenome-fppn.fr/vocabulary/2017#hasTrait,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Variable
http://www.phenome-fppn.fr/vocabulary/2017#hasUnit,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasUnit,http://www.w3.org/2000/01/rdf-schema#range,http://www.phenome-fppn.fr/vocabulary/2017#Unit
http://www.phenome-fppn.fr/vocabulary/2017#hasUnit,http://www.w3.org/2000/01/rdf-schema#domain,http://www.phenome-fppn.fr/vocabulary/2017#Variable
http://www.phenome-fppn.fr/vocabulary/2017#AgronomicalObject,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#Sensor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#Vector,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#dateOfLastCalibration,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#dateOfPurchase,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#hasBrand,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#inServiceDate,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.phenome-fppn.fr/vocabulary/2017#measuredVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
